id,label,community,degree,closness_centrality,harmonic_closness_centrality,betweeness_centrality,pageranks,clustering_coefficient,num_of_triangles,eigenvector_centrality
11,Valjean,1,36,0.644067797,0.73245614,0.569989053,0.075436017,0.120634921,76,1
48,Gavroche,8,22,0.513513514,0.605263158,0.165112502,0.035762001,0.354978355,82,0.995941875
55,Marius,6,19,0.531468531,0.603070175,0.132032489,0.030891213,0.333333333,57,0.828965472
27,Javert,7,17,0.517006803,0.585526316,0.05433156,0.030302492,0.323529412,44,0.67653559
25,Thenardier,7,16,0.517006803,0.581140351,0.074901221,0.0279252,0.408333333,49,0.676494722
23,Fantine,2,15,0.460606061,0.539473684,0.129644541,0.027022282,0.314285714,33,0.404673346
58,Enjolras,8,15,0.481012658,0.552631579,0.042553357,0.021878132,0.60952381,64,0.816258817
62,Courfeyrac,8,13,0.4,0.483552632,0.00526703,0.018574245,0.756410256,59,0.680372198
64,Bossuet,8,13,0.475,0.539473684,0.03075365,0.018955751,0.769230769,60,0.724140084
63,Bahorel,8,12,0.393782383,0.472587719,0.002185488,0.017195854,0.863636364,57,0.643606001
65,Joly,8,12,0.393782383,0.472587719,0.002185488,0.017195854,0.863636364,57,0.643606001
24,MmeThenardier,7,11,0.460606061,0.520833333,0.029002419,0.019500678,0.490909091,27,0.463375961
26,Cosette,6,11,0.477987421,0.533991228,0.023796253,0.020610848,0.381818182,21,0.420949278
41,Eponine,7,11,0.395833333,0.470394737,0.011487551,0.017792259,0.454545455,25,0.477549092
57,Mabeuf,8,11,0.395833333,0.470394737,0.027661236,0.017474555,0.690909091,38,0.576255769
59,Combeferre,8,11,0.391752577,0.466008772,0.001250146,0.015888464,0.927272727,51,0.613120736
61,Feuilly,8,11,0.391752577,0.466008772,0.001250146,0.015888464,0.927272727,51,0.613120736
0,Myriel,0,10,0.429378531,0.49122807,0.176842105,0.042821739,0.066666667,3,0.125897749
66,Grantaire,8,10,0.358490566,0.432017544,1.50E-04,0.01445322,0.933333333,42,0.536782085
68,Gueulemer,7,10,0.463414634,0.51754386,0.004960384,0.016691151,0.8,36,0.517993916
69,Babet,7,10,0.463414634,0.51754386,0.004960384,0.016691151,0.8,36,0.517993916
70,Claquesous,7,10,0.452380952,0.509868421,0.004861804,0.01656031,0.711111111,32,0.503856235
16,Tholomyes,2,9,0.391752577,0.457236842,0.040629348,0.015646357,0.611111111,22,0.225020575
60,Prouvaire,8,9,0.356807512,0.425438596,0,0.013142796,1,36,0.506296821
71,Montparnasse,7,9,0.457831325,0.50877193,0.00387383,0.015170302,0.833333333,30,0.481269092
29,Bamatabois,3,8,0.426966292,0.480263158,0.008040936,0.015578036,0.642857143,18,0.267658587
17,Listolier,2,7,0.340807175,0.39627193,0,0.012617384,1,21,0.127578389
18,Fameuil,2,7,0.340807175,0.39627193,0,0.012617384,1,21,0.127578389
19,Blacheville,2,7,0.340807175,0.39627193,0,0.012617384,1,21,0.127578389
20,Favourite,2,7,0.340807175,0.39627193,0,0.012617384,1,21,0.127578389
21,Dahlia,2,7,0.340807175,0.39627193,0,0.012617384,1,21,0.127578389
22,Zephine,2,7,0.340807175,0.39627193,0,0.012617384,1,21,0.127578389
49,Gillenormand,6,7,0.441860465,0.487938596,0.020210622,0.014957149,0.476190476,10,0.242071977
51,MlleGillenormand,6,7,0.441860465,0.487938596,0.047598928,0.016259918,0.428571429,9,0.234812759
75,Brujon,7,7,0.38,0.435307018,4.39E-04,0.011865793,0.904761905,19,0.347608053
76,MmeHucheloup,8,7,0.353488372,0.412280702,0,0.010687468,1,21,0.407718629
34,Judge,3,6,0.404255319,0.449561404,0,0.012426393,1,15,0.180129321
35,Champmathieu,3,6,0.404255319,0.449561404,0,0.012426393,1,15,0.180129321
36,Brevet,3,6,0.404255319,0.449561404,0,0.012426393,1,15,0.180129321
37,Chenildieu,3,6,0.404255319,0.449561404,0,0.012426393,1,15,0.180129321
38,Cochepaille,3,6,0.404255319,0.449561404,0,0.012426393,1,15,0.180129321
